
1230.657,-0.917
1286.624,-1.529
1268.886,-1.529
1268.274,0.917
1273.779,-2.752
1269.192,-0.612
1268.58,-2.141
1230.657,-2.141
1286.93,-2.141
1268.274,-2.141
1268.58,2.447
1277.143,-4.587
1268.886,-0.917
1268.886,-1.529
1230.045,-2.141
1295.187,-1.223
1268.58,-0.917
1268.58,1.529
1278.672,-4.893
1269.497,-1.529
1268.58,-1.223
1230.351,-2.447
1307.726,-1.529
1268.886,-1.835
1268.886,1.529
1279.896,-5.199
1268.886,-1.529
1268.886,-0.917
1231.88,-1.835
1312.925,-1.223
