V,I,,,,,,,,,,,,,,
1403.756,-1.529,,,,,,,,,,,,,,
1273.473,-0.917,,,,,,,,,,,,,,
1203.438,-1.223,,,,,,,,,,,,,,
1302.833,-12.233,,,,,,,,,,,,,,
1273.473,-1.529,,,,,,,,,,,,,,
1233.715,5.199,,,,,,,,,,,,,,
1279.896,-3.976,,,,,,,,,,,,,,
1398.557,-2.141,,,,,,,,,,,,,,
1273.473,0.612,,,,,,,,,,,,,,
1217.201,-2.447,,,,,,,,,,,,,,
1302.527,-11.927,,,,,,,,,,,,,,
1272.861,-0.917,,,,,,,,,,,,,,
1183.865,5.199,,,,,,,,,,,,,,
1285.095,-4.282,,,,,,,,,,,,,,
1383.266,-2.141,,,,,,,,,,,,,,
1272.861,1.529,,,,,,,,,,,,,,
1217.812,-1.835,,,,,,,,,,,,,,
1322.406,-11.316,,,,,,,,,,,,,,
1273.167,-1.529,,,,,,,,,,,,,,
1171.938,4.282,,,,,,,,,,,,,,
1285.095,-4.587,,,,,,,,,,,,,,
1370.727,-0.917,,,,,,,,,,,,,,
1272.556,2.447,,,,,,,,,,,,,,
1226.681,-1.529,,,,,,,,,,,,,,
1326.076,-12.539,,,,,,,,,,,,,,
1272.861,-1.529,,,,,,,,,,,,,,
1158.176,3.364,,,,,,,,,,,,,,
1285.401,-3.976,,,,,,,,,,,,,,
1369.809,-0.917,,,,,,,,,,,,,,
1271.944,3.364,,,,,,,,,,,,,,
1231.269,-2.141,,,,,,,,,,,,,,
1327.605,-11.927,,,,,,,,,,,,,,
1273.167,-1.835,,,,,,,,,,,,,,
1154.2,2.752,,,,,,,,,,,,,,
1284.789,-3.976,,,,,,,,,,,,,,
1356.353,-0.612,,,,,,,,,,,,,,
1272.25,4.282,,,,,,,,,,,,,,
1233.715,-3.058,,,,,,,,,,,,,,
1326.382,-11.01,,,,,,,,,,,,,,
1272.861,-1.223,,,,,,,,,,,,,,
1154.2,2.752,,,,,,,,,,,,,,
1284.177,-3.67,,,,,,,,,,,,,,
1352.377,-1.223,,,,,,,,,,,,,,
1269.803,4.587,,,,,,,,,,,,,,
1238.915,-2.141,,,,,,,,,,,,,,
1325.77,-11.01,,,,,,,,,,,,,,
1272.861,-1.529,,,,,,,,,,,,,,
1154.2,2.141,,,,,,,,,,,,,,
1285.095,-3.67,,,,,,,,,,,,,,
1349.319,-1.529,,,,,,,,,,,,,,
1267.968,5.811,,,,,,,,,,,,,,
1241.667,-2.141,,,,,,,,,,,,,,
1324.852,-10.092,,,,,,,,,,,,,,
1272.861,-1.835,,,,,,,,,,,,,,
1158.481,1.835,,,,,,,,,,,,,,
1286.318,-5.199,,,,,,,,,,,,,,
1342.591,-1.529,,,,,,,,,,,,,,
1264.298,6.117,,,,,,,,,,,,,,
1244.725,-2.447,,,,,,,,,,,,,,
1323.629,-9.481,,,,,,,,,,,,,,
1273.167,-0.612,,,,,,,,,,,,,,
1166.127,2.141,,,,,,,,,,,,,,
1287.235,-4.893,,,,,,,,,,,,,,
1328.828,-1.529,,,,,,,,,,,,,,
1261.546,7.034,,,,,,,,,,,,,,
1249.924,-3.364,,,,,,,,,,,,,,
1324.852,-7.952,,,,,,,,,,,,,,
1272.556,-0.917,,,,,,,,,,,,,,
1167.962,2.141,,,,,,,,,,,,,,
1286.93,-4.893,,,,,,,,,,,,,,
1323.323,-1.529,,,,,,,,,,,,,,
1256.958,7.34,,,,,,,,,,,,,,
1256.652,-2.752,,,,,,,,,,,,,,
1326.076,-7.952,,,,,,,,,,,,,,
1272.25,-0.306,,,,,,,,,,,,,,
1178.666,0.917,,,,,,,,,,,,,,
1288.459,-6.117,,,,,,,,,,,,,,
1318.124,-2.141,,,,,,,,,,,,,,
1256.347,8.869,,,,,,,,,,,,,,
1260.323,-2.141,,,,,,,,,,,,,,
1325.464,-7.34,,,,,,,,,,,,,,
1271.332,0.306,,,,,,,,,,,,,,
1182.642,1.223,,,,,,,,,,,,,,
1286.93,-5.505,,,,,,,,,,,,,,
1312.008,-1.835,,,,,,,,,,,,,,
1256.347,7.646,,,,,,,,,,,,,,
1260.017,-2.752,,,,,,,,,,,,,,
1330.357,-5.811,,,,,,,,,,,,,,
1270.415,-0.612,,,,,,,,,,,,,,
1187.535,1.223,,,,,,,,,,,,,,
1287.541,-4.893,,,,,,,,,,,,,,
1308.032,0,,,,,,,,,,,,,,
1247.478,7.034,,,,,,,,,,,,,,
1263.687,-2.447,,,,,,,,,,,,,,
1336.78,-6.728,,,,,,,,,,,,,,
1270.721,-0.306,,,,,,,,,,,,,,
1195.487,0.306,,,,,,,,,,,,,,
1289.988,-5.811,,,,,,,,,,,,,,
1301.915,-0.917,,,,,,,,,,,,,,
1240.444,8.563,,,,,,,,,,,,,,
1266.745,-2.752,,,,,,,,,,,,,,
1342.285,-6.422,,,,,,,,,,,,,,
1272.25,0.306,,,,,,,,,,,,,,
1200.686,0.306,,,,,,,,,,,,,,
1292.129,-5.811,,,,,,,,,,,,,,
1293.046,-0.612,,,,,,,,,,,,,,
1240.75,8.257,,,,,,,,,,,,,,
1266.745,-2.447,,,,,,,,,,,,,,
1356.353,-7.646,,,,,,,,,,,,,,
1271.026,0,,,,,,,,,,,,,,
1206.802,0.306,,,,,,,,,,,,,,
1293.046,-6.422,,,,,,,,,,,,,,
1283.26,-1.529,,,,,,,,,,,,,,
1237.385,7.952,,,,,,,,,,,,,,
1268.886,-3.364,,,,,,,,,,,,,,
1364.304,-6.117,,,,,,,,,,,,,,
1272.25,-0.306,,,,,,,,,,,,,,
1205.885,-0.306,,,,,,,,,,,,,,
1293.964,-6.117,,,,,,,,,,,,,,
1277.449,-1.529,,,,,,,,,,,,,,
1237.079,7.646,,,,,,,,,,,,,,
1269.803,-3.058,,,,,,,,,,,,,,
1370.421,-4.587,,,,,,,,,,,,,,
1272.556,-0.612,,,,,,,,,,,,,,
1205.579,0,,,,,,,,,,,,,,
1295.187,-7.034,,,,,,,,,,,,,,
1273.167,-0.917,,,,,,,,,,,,,,
1236.468,7.952,,,,,,,,,,,,,,
1270.721,-2.752,,,,,,,,,,,,,,
1379.902,-3.976,,,,,,,,,,,,,,
1271.944,0,,,,,,,,,,,,,,
1208.026,-1.223,,,,,,,,,,,,,,
1298.245,-8.563,,,,,,,,,,,,,,
1273.779,-2.141,,,,,,,,,,,,,,
1234.021,8.563,,,,,,,,,,,,,,
1272.25,-3.058,,,,,,,,,,,,,,
1378.678,-1.835,,,,,,,,,,,,,,
1272.861,-0.306,,,,,,,,,,,,,,
1206.802,-1.529,,,,,,,,,,,,,,
1299.163,-8.563,,,,,,,,,,,,,,
1272.861,-1.529,,,,,,,,,,,,,,
1238.609,7.952,,,,,,,,,,,,,,
1274.696,-3.67,,,,,,,,,,,,,,
1383.572,-1.529,,,,,,,,,,,,,,
1272.25,-0.917,,,,,,,,,,,,,,
1209.249,-1.223,,,,,,,,,,,,,,
1300.692,-8.563,,,,,,,,,,,,,,
1272.861,-0.917,,,,,,,,,,,,,,
1234.021,6.728,,,,,,,,,,,,,,
1276.531,-3.976,,,,,,,,,,,,,,
1393.97,-1.835,,,,,,,,,,,,,,
1272.861,-0.306,,,,,,,,,,,,,,
1207.108,-1.835,,,,,,,,,,,,,,
1302.221,-11.316,,,,,,,,,,,,,,
1273.779,-0.612,,,,,,,,,,,,,,
1230.657,5.199,,,,,,,,,,,,,,
1279.284,-4.587,,,,,,,,,,,,,,
1393.052,-1.835,,,,,,,,,,,,,,
