LFOSC Freq:32936.406250

I

index:87, -219.899
index:88, 4851.558
index:89, 9957.929
index:90, 9957.929
index:91, 9957.929
index:92, 3726.031
index:93, -710.843
index:94, 57.578
index:95, 6591.148
index:96, 9957.929
index:97, 9957.929
index:98, 9461.777
index:99, 2005.429
index:100, -899.197
